Timestamp,Motor_ID,Voltage (V),Current (A),Power (kW),Frequency (Hz),Power Factor,Torque (Nm),RPM,Load (%),Temperature (°C),Humidity (%),Vibration (mm/s),Status
1/1/2021 0:00,MTR004,380,8.7,3.14,50,0.95,61,1455,49,64,52,5.8,High Vibration
1/1/2021 0:15,MTR001,410,14.1,5.49,50,0.85,60,1479,85,43,59,6.4,High Vibration
1/1/2021 0:30,MTR003,380,14.9,5.38,50,0.84,49,1354,78,64,75,1.6,Overload
1/1/2021 0:45,MTR001,380,11.8,4.26,50,0.93,61,1479,85,40,56,5,Running
1/1/2021 1:00,MTR002,390,13,4.82,50,0.95,50,1424,66,59,54,4.6,Running
1/1/2021 1:15,MTR003,380,12.9,4.66,50,0.81,64,1351,92,55,63,4.3,Load Increase
1/1/2021 1:30,MTR003,420,13.6,5.43,50,0.97,70,1419,75,38,51,2.4,Running
1/1/2021 1:45,MTR005,400,8.7,3.31,50,0.89,62,1434,58,48,53,2,Running
1/1/2021 2:00,MTR005,0,0,0,0,0,0,0,0,50,65,0,Shutdown
1/1/2021 2:15,MTR004,0,0,0,0,0,0,0,0,50,65,0,Shutdown
1/1/2021 2:30,MTR005,420,8.4,3.35,50,0.91,70,1464,43,55,72,2.1,Running
1/1/2021 2:45,MTR001,400,14.5,5.51,50,0.81,41,1494,65,62,54,5.9,High Vibration
1/1/2021 3:00,MTR005,420,9.7,3.87,50,0.86,57,1419,95,46,53,6,High Vibration
1/1/2021 3:15,MTR002,380,15.9,5.74,50,0.89,63,1415,69,61,55,2.5,Overload
1/1/2021 3:30,MTR003,0,0,0,0,0,0,0,0,50,65,0,Shutdown
1/1/2021 3:45,MTR001,390,14.8,5.48,50,0.89,54,1475,62,40,52,3.5,Overload
1/1/2021 4:00,MTR001,415,10.9,4.3,50,0.8,60,1439,69,44,68,4.8,Running
1/1/2021 4:15,MTR004,400,12.9,4.9,50,0.84,68,1362,80,55,64,4.4,Running
1/1/2021 4:30,MTR003,400,14,5.32,50,0.91,61,1459,84,52,51,2.8,Running
1/1/2021 4:45,MTR001,400,10.9,4.14,50,0.82,65,1393,54,45,55,2,Running
1/1/2021 5:00,MTR001,415,9.8,3.86,50,0.95,69,1429,69,57,61,5.2,High Vibration
1/1/2021 5:15,MTR004,410,16,6.23,50,0.95,45,1453,81,62,50,2.3,Overload
1/1/2021 5:30,MTR001,380,10.1,3.65,50,0.9,68,1500,65,45,55,6.3,High Vibration
1/1/2021 5:45,MTR002,420,14.7,5.87,50,0.9,66,1353,93,40,73,4.6,Overload
1/1/2021 6:00,MTR003,0,0,0,0,0,0,0,0,50,65,0,Shutdown
1/1/2021 6:15,MTR002,415,11.7,4.61,50,0.83,42,1368,99,58,56,6.1,High Vibration
1/1/2021 6:30,MTR002,400,15.5,5.89,50,0.9,47,1453,60,65,70,6.3,High Vibration
1/1/2021 6:45,MTR005,390,11.4,4.22,50,0.87,41,1418,44,36,57,3,Running
1/1/2021 7:00,MTR003,410,10,3.9,50,0.85,42,1440,91,36,74,4.3,Load Increase
1/1/2021 7:15,MTR005,420,9.9,3.95,50,0.97,54,1371,63,42,74,2.1,Running
1/1/2021 7:30,MTR001,400,15.2,5.78,50,0.84,42,1393,59,56,67,3.8,Overload
1/1/2021 7:45,MTR002,0,0,0,0,0,0,0,0,50,65,0,Shutdown
1/1/2021 8:00,MTR002,415,10.2,4.02,50,0.87,63,1436,73,61,64,6.2,High Vibration
1/1/2021 8:15,MTR005,410,13.8,5.38,50,0.9,52,1441,63,61,56,2.8,Running
1/1/2021 8:30,MTR004,400,11.9,4.52,50,0.81,60,1409,68,41,75,2,Running
1/1/2021 8:45,MTR003,415,12.7,5.01,50,0.86,60,1396,51,64,51,1.5,Running
1/1/2021 9:00,MTR002,390,15.7,5.82,50,0.88,43,1499,72,47,60,5.8,High Vibration
1/1/2021 9:15,MTR004,420,14.5,5.79,50,0.89,49,1422,86,45,60,4.8,Overload
1/1/2021 9:30,MTR002,0,0,0,0,0,0,0,0,50,65,0,Shutdown
1/1/2021 9:45,MTR003,420,10.8,4.31,50,0.83,62,1449,59,63,70,2.9,Running
1/1/2021 10:00,MTR002,400,14.1,5.36,50,0.85,50,1449,85,53,63,3.5,Overload
1/1/2021 10:15,MTR003,380,9,3.25,50,0.96,40,1467,57,42,72,5.5,High Vibration
1/1/2021 10:30,MTR003,380,12,4.33,50,0.96,49,1445,98,55,63,4.2,Load Increase
1/1/2021 10:45,MTR004,400,14.6,5.55,50,0.92,48,1399,82,38,50,3.4,Overload
1/1/2021 11:00,MTR005,400,15.2,5.78,50,0.89,63,1364,52,57,59,2,Overload
1/1/2021 11:15,MTR003,415,15.4,6.07,50,0.81,53,1419,47,61,66,1.6,Overload
1/1/2021 11:30,MTR003,415,14.6,5.76,50,0.82,62,1473,64,59,61,4.1,Overload
1/1/2021 11:45,MTR002,390,10.7,3.96,50,0.93,45,1371,41,36,50,2.1,Running
1/1/2021 12:00,MTR003,420,15.2,6.06,50,0.81,70,1434,45,40,68,2.2,Overload
1/1/2021 12:15,MTR004,420,14.9,5.95,50,0.86,52,1423,48,61,70,6.3,High Vibration
1/1/2021 12:30,MTR005,415,15.8,6.23,50,0.95,44,1442,86,55,65,5.7,High Vibration
1/1/2021 12:45,MTR004,380,14.5,5.23,50,0.94,62,1402,44,41,57,4.4,Overload
1/1/2021 13:00,MTR002,380,11.4,4.12,50,0.98,41,1353,55,37,68,4.6,Running
1/1/2021 13:15,MTR004,380,14.5,5.23,50,0.86,67,1499,97,54,52,2.4,Overload
1/1/2021 13:30,MTR001,415,14.5,5.72,50,0.85,42,1417,84,50,64,3.9,Overload
1/1/2021 13:45,MTR002,390,15.3,5.67,50,0.91,60,1451,51,36,74,4.1,Overload
1/1/2021 14:00,MTR002,390,14,5.19,50,0.86,46,1448,42,45,74,5.9,High Vibration
1/1/2021 14:15,MTR004,380,14.4,5.2,50,0.88,60,1436,87,48,60,3.4,Overload
1/1/2021 14:30,MTR001,410,15.2,5.92,50,0.95,52,1388,85,42,64,2.8,Overload
1/1/2021 14:45,MTR004,400,8.6,3.27,50,0.92,64,1500,56,37,61,2.1,Running
1/1/2021 15:00,MTR001,0,0,0,0,0,0,0,0,50,65,0,Shutdown
